,,,,,,,,,,,,
Quality Control Table,,,,,,,,,,,,
Kit ID,NMID,Client Label,Sample Type,Volume Filtered,Date Received,DNA Amplified,Sequencing QC,Target OTUs Detected,% Target,% Non-Target,Reported,Comment
SSC-01-01209,30308,2023 E FO1 P3 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,74.9,25.1,Yes,Sample reported
SSC-01-00850,30280,2023 E HF1 P1 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.4,96.6,Yes,Sample reported
SSC-01-00845,30261,2023 E HF1 P1 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,7.7,92.3,Yes,Sample reported
SSC-01-00842,30284,2023 E HF1 P1 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.8,94.2,Yes,Sample reported
SSC-01-00866,30278,2023 E HF1 P1 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,8.6,91.4,Yes,Sample reported
SSC-01-00856,30291,2023 E HF1 P1 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,11.2,88.8,Yes,Sample reported
SSC-01-01154,30242,2023 E HF1 P2 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.2,96.8,Yes,Sample reported
SSC-01-01153,30231,2023 E HF1 P2 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,1.2,98.8,Yes,Sample reported
SSC-01-01169,30253,2023 E HF1 P2 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,8.1,91.9,Yes,Sample reported
SSC-01-01166,30233,2023 E HF1 P2 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,7.9,92.1,Yes,Sample reported
SSC-01-01174,30236,2023 E HF1 P2 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,56.2,43.8,Yes,Sample reported
SSC-01-01152,30255,2023 E HF1 P3 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,10.6,89.4,Yes,Sample reported
SSC-01-01170,30230,2023 E HF1 P3 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,7.1,92.9,Yes,Sample reported
SSC-01-01150,30251,2023 E HF1 P3 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,12.1,87.9,Yes,Sample reported
SSC-01-01165,30239,2023 E HF1 P3 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,10.4,89.6,Yes,Sample reported
SSC-01-01149,30220,2023 E HF1 P3 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.3,94.7,Yes,Sample reported
SSC-01-01151,30250,2023 E HF1 P4 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,4.5,95.5,Yes,Sample reported
SSC-01-01156,30257,2023 E HF1 P4 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,4,96,Yes,Sample reported
SSC-01-01164,30217,2023 E HF1 P4 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,10.6,89.4,Yes,Sample reported
SSC-01-01163,30232,2023 E HF1 P4 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,73.9,26.1,Yes,Sample reported
SSC-01-01167,30237,2023 E HF1 P4 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,56.4,43.6,Yes,Sample reported
SSC-01-00801,30283,2023 E HF1 P5 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,19.9,80.1,Yes,Sample reported
SSC-01-00799,30260,2023 E HF1 P5 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.9,96.2,Yes,Sample reported
SSC-01-00843,30272,2023 E HF1 P5 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,2.9,97.2,Yes,Sample reported
SSC-01-00793,30290,2023 E HF1 P5 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,10,90,Yes,Sample reported
SSC-01-00844,30262,2023 E HF1 P5 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,18.9,81.2,Yes,Sample reported
SSC-01-00882,30265,2023 E HF1 P6 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,8.2,91.8,Yes,Sample reported
SSC-01-01173,30281,2023 E HF1 P6 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,4.5,95.5,Yes,Sample reported
SSC-01-01176,30285,2023 E HF1 P6 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.5,94.5,Yes,Sample reported
SSC-01-00865,30287,2023 E HF1 P6 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,83.4,16.6,Yes,Sample reported
SSC-01-00811,30266,2023 E HF1 P6 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,87.6,12.4,Yes,Sample reported
SSC-01-00806,30267,2023 E HF1 P7 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,4.5,95.5,Yes,Sample reported
SSC-01-00863,30269,2023 E HF1 P7 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,8.5,91.5,Yes,Sample reported
SSC-01-00810,30276,2023 E HF1 P7 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,24.3,75.7,Yes,Sample reported
SSC-01-00849,30274,2023 E HF1 P7 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.7,96.3,Yes,Sample reported
SSC-01-00864,30268,2023 E HF1 P7 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,16,84,Yes,Sample reported
SSC-01-01168,30258,2023 E PF1 P1 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,15.1,84.9,Yes,Sample reported
SSC-01-01172,30238,2023 E PF1 P1 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,13.5,86.5,Yes,Sample reported
SSC-01-01171,30227,2023 E PF1 P1 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,62,38,Yes,Sample reported
SSC-01-00883,30219,2023 E PF1 P1 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,30.6,69.4,Yes,Sample reported
SSC-01-01177,30288,2023 E PF1 P1 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,6.8,93.2,Yes,Sample reported
SSC-01-00809,30240,2023 E PF1 P2 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.2,96.8,Yes,Sample reported
SSC-01-01179,30221,2023 E PF1 P2 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,22.9,77.1,Yes,Sample reported
SSC-01-00848,30252,2023 E PF1 P2 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,53,47,Yes,Sample reported
SSC-01-00847,30226,2023 E PF1 P2 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,6.7,93.3,Yes,Sample reported
SSC-01-00846,30246,2023 E PF1 P2 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,14.6,85.4,Yes,Sample reported
SSC-01-00862,30225,2023 E PF1 P3 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,19.6,80.5,Yes,Sample reported
SSC-01-00827,30215,2023 E PF1 P3 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.5,94.5,Yes,Sample reported
SSC-01-00861,30259,2023 E PF1 P3 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,2.7,97.3,Yes,Sample reported
SSC-01-00860,30229,2023 E PF1 P3 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.6,94.4,Yes,Sample reported
SSC-01-00884,30243,2023 E PF1 P3 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,60.8,39.2,Yes,Sample reported
SSC-01-00808,30249,2023 E PF1 P4 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,6.5,93.5,Yes,Sample reported
SSC-01-00807,30223,2023 E PF1 P4 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,7.8,92.2,Yes,Sample reported
SSC-01-00859,30277,2023 E PF1 P4 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,76.4,23.6,Yes,Sample reported
SSC-01-00852,30289,2023 E PF1 P4 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,17.8,82.2,Yes,Sample reported
SSC-01-00853,30263,2023 E PF1 P4 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,37,63,Yes,Sample reported
SSC-01-00854,30286,2023 E PF1 P5 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,31.2,68.8,Yes,Sample reported
SSC-01-00857,30271,2023 E PF1 P5 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,60.7,39.3,Yes,Sample reported
SSC-01-00851,30279,2023 E PF1 P5 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,10,90,Yes,Sample reported
SSC-01-00855,30282,2023 E PF1 P5 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,3.4,96.7,Yes,Sample reported
SSC-01-00798,30322,2023 E PF1 P5 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,8,92,Yes,Sample reported
SSC-01-00797,30275,2023 E PF1 P6 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,61.3,38.7,Yes,Sample reported
SSC-01-00794,30270,2023 E PF1 P6 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,22.1,77.9,Yes,Sample reported
SSC-01-00804,30273,2023 E PF1 P6 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,4.8,95.2,Yes,Sample reported
SSC-01-00792,30241,2023 E PF1 P6 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,34.8,65.2,Yes,Sample reported
SSC-01-00795,30264,2023 E PF1 P6 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,29.5,70.5,Yes,Sample reported
SSC-01-01195,30296,2023 E SS1 P1 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,43.6,56.4,Yes,Sample reported
SSC-01-01192,30293,2023 E SS1 P1 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,98.6,1.4,Yes,Sample reported
SSC-01-01185,30305,2023 E SS1 P1 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,36.4,63.6,Yes,Sample reported
SSC-01-01200,30304,2023 E SS1 P1 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,41.1,58.9,Yes,Sample reported
SSC-01-01186,30316,2023 E SS1 P1 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,14.2,85.8,Yes,Sample reported
SSC-01-01207,30318,2023 E SS1 P2 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,49.5,50.5,Yes,Sample reported
SSC-01-01180,30300,2023 E SS1 P2 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,42.1,57.9,Yes,Sample reported
SSC-01-01181,30302,2023 E SS1 P2 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.2,94.8,Yes,Sample reported
SSC-01-01182,30314,2023 E SS1 P2 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,28.8,71.2,Yes,Sample reported
SSC-01-01184,30297,2023 E SS1 P2 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,5.4,94.6,Yes,Sample reported
SSC-01-01183,30313,2023 E SS1 P3 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,16.5,83.5,Yes,Sample reported
SSC-01-01148,30312,2023 E SS1 P3 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,17.7,82.3,Yes,Sample reported
SSC-01-01147,30295,2023 E SS1 P3 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,22.6,77.4,Yes,Sample reported
SSC-01-01159,30310,2023 E SS1 P3 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,26.4,73.6,Yes,Sample reported
SSC-01-01187,30306,2023 E SS1 P3 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,23.6,76.4,Yes,Sample reported
SSC-01-01229,29844,2023 E WW P1 S1,Client Sample,NA,28/3/23,Yes,Yes,Yes,68.9,31.1,Yes,Sample reported
SSC-01-01225,29840,2023 E WW P1 S2,Client Sample,NA,28/3/23,Yes,Yes,Yes,84.1,15.9,Yes,Sample reported
SSC-01-01218,29833,2023 E WW P1 S3,Client Sample,NA,28/3/23,Yes,Yes,Yes,67.9,32.1,Yes,Sample reported
SSC-01-01219,29834,2023 E WW P1 S4,Client Sample,NA,28/3/23,Yes,Yes,Yes,24.4,75.6,Yes,Sample reported
SSC-01-01211,29826,2023 E WW P1 S5,Client Sample,NA,28/3/23,Yes,Yes,Yes,4.4,95.6,Yes,Sample reported
SSC-01-01214,29829,2023 E WW P2 S1,Client Sample,NA,28/3/23,Yes,Yes,Yes,96.8,3.2,Yes,Sample reported
SSC-01-01223,29838,2023 E WW P2 S2,Client Sample,NA,28/3/23,Yes,Yes,Yes,31.9,68.1,Yes,Sample reported
SSC-01-01217,29832,2023 E WW P2 S3,Client Sample,NA,28/3/23,Yes,Yes,Yes,95.9,4.1,Yes,Sample reported
SSC-01-01215,29830,2023 E WW P2 S4,Client Sample,NA,28/3/23,Yes,Yes,Yes,18.9,81,Yes,Sample reported
